element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
899020	<i>Fraxinus quadrangulata - Quercus macrocarpa / Arundinaria gigantea ssp. gigantea</i> Open Woodland Alliance	nomenclature update (USDA Plants 2017)	8/25/2017	M. Russo
689454	<i>Fraxinus quadrangulata - Quercus macrocarpa / Arundinaria gigantea ssp. gigantea</i> Wooded Shrubland	nomenclature update (USDA Plants 2017)	8/25/2017	M. Russo
689214	<i>Fraxinus quadrangulata - Quercus macrocarpa - Quercus muehlenbergii / Arundinaria gigantea ssp. gigantea / Elymus</i> spp. Woodland	nomenclature update (USDA Plants 2017)	8/25/2017	M. Russo
686476	<i>Leucothoe racemosa - Vaccinium fuscatum - Smilax walteri</i> Wet Shrubland	nomenclature update (USDA Plants 2017)	8/25/2017	M. Russo
837265	<i>Chloris pluriflora - Bothriochloa barbinodis - Opuntia engelmannii var. lindheimeri</i> Grassland Group	nomenclature update (USDA Plants 2017)	8/26/2017	M. Russo
899949	<i>Argentina egedii - Calamagrostis nutkaensis - Juncus balticus</i> Salt Marsh Alliance	nomenclature update (USDA Plants 2017)	8/26/2017	M. Russo
686060	<i>Eleocharis palustris - Juncus balticus</i> Marsh	nomenclature update (USDA Plants 2017)	8/26/2017	M. Russo
685348	<i>Sarcobatus vermiculatus / Juncus balticus</i> Sparse Vegetation	nomenclature update (USDA Plants 2017)	8/26/2017	M. Russo
899716	<i>Schoenoplectus acutus - Schoenoplectus fluviatilis - Schoenoplectus tabernaemontani</i> Marsh Alliance	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
899718	<i>Schoenoplectus tabernaemontani - Schoenoplectus fluviatilis - Typha</i> spp. Shallow Marsh Alliance	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
686366	<i>Distichlis spicata - Schoenoplectus maritimus - Salicornia rubra</i> Wet Meadow	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
683475	<i>Schoenoplectus fluviatilis - Schoenoplectus</i> spp. Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
687407	<i>Schoenoplectus acutus - (Schoenoplectus fluviatilis)</i> Freshwater Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
683701	<i>Schoenoplectus maritimus - Schoenoplectus acutus - (Triglochin maritima)</i> Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
686421	<i>Schoenoplectus maritimus - Atriplex patula - Eleocharis parvula</i> Saline Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
787711	<i>Schoenoplectus fluviatilis</i> Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
683345	<i>Schoenoplectus robustus - Zizaniopsis miliacea - Typha</i> spp. - <i>Spartina bakeri</i> Ruderal Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
860813	<i>Schoenoplectus maritimus - Cladium mariscus - Cyperus laevigatus</i> Freshwater Marsh Group	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
689538	<i>Ericameria teretifolia</i> Shrubland [Placeholder]	elevated to Provisional	12/1/2016	M. Russo
900049	Midwest Alkaline Cliff Alliance		2/27/2017	D. Faber-Langendoen
689758	Midwest Maderate Cliff Vegetation		2/27/2017	D. Faber-Langendoen
872765	<i>Populus balsamifera ssp. trichocarpa - Thuja plicata - Chamaecyparis nootkatensis</i> Flooded &amp; Swamp Forest Division	nomenclature update (USDA Plants 2017)	8/16/2017	M. Russo
899960	<i>Quercus ilicifolia - Photinia melanocarpa</i> Bedrock Shrubland Alliance	nomenclature update (USDA Plants 2017)	8/16/2017	M. Russo
686048	<i>Vaccinium corymbosum - Gaylussacia baccata - Photinia melanocarpa / Calla palustris</i> Acidic Peatland	nomenclature update (USDA Plants 2017)	8/16/2017	M. Russo
687145	<i>Liquidambar styraciflua - Acer rubrum - Quercus phellos / Leucothoe racemosa</i> Swamp Forest	nomenclature update (USDA Plants 2017)	8/25/2017	M. Russo
899609	<i>Schoenoplectus acutus - Schoenoplectus maritimus - Schoenoplectus tabernaemontani</i> Marsh Alliance	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
683192	<i>Schoenoplectus robustus - Spartina alterniflora</i> Salt Marsh	nomenclature update (USDA Plants 2017)	8/28/2017	M. Russo
687867	<i>Abies concolor var. concolor - Pinus ponderosa - Pinus longaeva</i> Forest	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
835947	<i>Calocedrus decurrens - Pinus jeffreyi - Abies concolor var. lowiana</i> Forest Macrogroup	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
801795	<i>Cephalanthus occidentalis / Ampelopsis arborea</i> Ruderal Wet Shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
899062	<i>Acacia farnesiana - Opuntia stricta var. dillenii - Lycium carolinianum var. quadrifidum</i> Dune Scrub Alliance	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686987	<i>Acacia farnesiana - Opuntia stricta var. dillenii - Lycium carolinianum var. quadrifidum / Spartina patens</i> Shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686773	<i>Larrea tridentata - Opuntia schottii</i> Shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686879	<i>Juniperus occidentalis var. australis - Cercocarpus ledifolius / Artemisia tridentata</i> Woodland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
689241	<i>Schizachyrium scoparium - Bothriochloa laguroides ssp. torreyana - Croton willdenowii</i> Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
900013	<i>Croton willdenowii - Minuartia glabra - Talinum</i> spp. Piedmont Open Flatrock Alliance	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686965	<i>Schizachyrium scoparium - Aristida dichotoma - Croton willdenowii</i> / Lichens Wooded Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
684984	<i>Talinum teretifolium - Minuartia glabra - Diodia teres - Croton willdenowii</i> Flatrock Vegetation	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
684636	<i>Sedum pulchellum - Talinum calycinum - Oenothera linifolia</i> Shale Glade Vegetation	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
857716	<i>Sedum pulchellum - Allium drummondii - Talinum parviflorum - Centaurium texense / Nostoc commune</i> Forbland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
687682	<i>Sporobolus clandestinus - Clinopodium arkansanum - Camassia scilloides - Talinum calycinum</i> / Lichens Nepheline Syenite Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
683773	<i>Juniperus virginiana - Celtis tenuifolia - Quercus stellata / Sporobolus compositus - Talinum teretifolium</i> Wooded Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
899264	<i>Ephedra fasciculata</i> Scrub Alliance	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
689542	<i>Encelia farinosa - Ephedra (fasciculata, nevadensis)</i> Shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
899167	<i>Azolla filiculoides - Azolla mexicana</i> Aquatic Vegetation Alliance	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
687451	<i>Salicornia (bigelovii, virginica)</i> Tidal Salt Marsh	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686149	<i>Salicornia (virginica, bigelovii, maritima) - Spartina alterniflora</i> Salt Marsh	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
684953	<i>Hypericum reductum - Licania michauxii / Andropogon capillipes - Polygonella gracilis - Xyris caroliniana</i> Dwarf-shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
685700	<i>Hypericum reductum / Aristida stricta</i> Wet Dwarf-shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
687246	<i>Lolium (arundinaceum, pratense)</i> Ruderal Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686780	<i>Quercus stellata - Ulmus alata - (Juniperus virginiana var. virginiana) / Sporobolus clandestinus - Monarda fistulosa var. stipitatoglandulosa</i> Woodland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
687898	<i>Abies concolor / Muhlenbergia virescens</i> Forest	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
683846	<i>Pinus ponderosa / Muhlenbergia virescens</i> Woodland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
689604	<i>Pinus ponderosa / Muhlenbergia virescens - Festuca arizonica</i> Woodland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
860787	<i>Artemisia australis - Canthium odoratum / Trisetum glomeratum</i> Hawaiian Dry Cliff Group	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
686293	<i>Juniperus virginiana var. virginiana - Croton alabamensis - Leptopus phyllanthoides / Carex eburnea</i> Shrubland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
935251	<i>Vitis rotundifolia - Ampelopsis arborea - Campsis radicans</i> Ruderal Vine-Shrubland Alliance	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
689910	<i>Betula nigra / Salix nigra / Hypericum prolificum - Ampelopsis arborea</i> Floodplain Forest	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
688437	<i>Picea rubens - Acer rubrum / Nemopanthus mucronatus</i> Swamp Forest	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
688268	<i>Acer rubrum / Nemopanthus mucronatus - Vaccinium corymbosum</i> Swamp Forest	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
801799	<i>Schizachyrium scoparium - (Sorghastrum nutans) - Sporobolus compositus var. compositus - Liatris mucronata</i> Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
687493	<i>Schizachyrium scoparium - Rudbeckia missouriensis - Grindelia lanceolata - (Liatris mucronata)</i> Grassland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
685190	<i>Pinus strobus - Quercus alba - (Carya alba) / Gaylussacia ursina</i> Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
686516	<i>Quercus alba - Carya alba - (Quercus velutina) / Desmodium nudiflorum - (Carex picta)</i> Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
684421	<i>Quercus alba - Quercus rubra - Carya alba / Vaccinium stamineum / Desmodium nudiflorum</i> Piedmont Forest	nomenclature update (USDA Plants 2017)<br /> 	8/31/2017	M. Russo
687377	<i>Pinus jeffreyi / Festuca roemeri</i> Wooded Grassland	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
685853	<i>Quercus alba - Quercus velutina - Carya (ovata, alba) - Pinus</i> sp. Forest	nomenclature update (USDA Plants 2017)	9/6/2017	M. Russo
833267	<i>Quercus prinus - Carya</i> spp. / <i>Castanea dentata</i> Forest Group	nomenclature update (USDA Plants 2017)	9/13/2017	M. Russo
802079	<i>Quercus prinus / Deschampsia flexuosa - Solidago bicolor</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
683249	<i>Pinus virginiana - Quercus prinus / Packera antennariifolia - Phlox subulata</i> Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
685271	<i>Betula lenta - Quercus prinus / Parthenocissus quinquefolia</i> Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
683683	<i>Fagus grandifolia - Quercus (alba, velutina, prinus) / Kalmia latifolia</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
907201	<i>Quercus prinus / Juniperus virginiana / Vaccinium arboreum / Taenidia integerrima</i> Kentucky Siltstone Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
685442	<i>Quercus prinus - Carya</i> spp. - <i>Quercus velutina / Vaccinium arboreum / Iris verna var. smalliana</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
687856	<i>Quercus prinus - Juniperus virginiana - (Pinus virginiana) / Philadelphus hirsutus - Celtis occidentalis</i> Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
683394	<i>Quercus alba - (Quercus prinus) / (Hydrangea quercifolia) - Viburnum acerifolium / Carex picta</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
684808	<i>Quercus prinus - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
686973	<i>Quercus prinus - Quercus rubra - Carya ovalis / Carex pensylvanica - (Calamagrostis porteri)</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
686143	<i>Quercus prinus - Quercus rubra / Vaccinium pallidum - (Rhododendron periclymenoides)</i> Forest	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
686117	<i>Quercus prinus - Pinus virginiana - (Pinus pungens) / Schizachyrium scoparium - Dichanthelium depauperatum</i> Woodland	nomenclature update (USDA Plants 2017)	9/14/2017	M. Russo
687526	<i>Pinus echinata - Quercus (margarettiae, stellata, falcata) - Carya texana</i> Woodland	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
684994	<i>Pinus echinata / Liquidambar styraciflua - Quercus (stellata, margarettiae) / Schizachyrium scoparium</i> Forest Plantation	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
685092	<i>Pinus palustris / Quercus incana / Schizachyrium scoparium - Liatris elegans - Opuntia humifusa var. humifusa</i> Woodland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
688832	<i>Juniperus occidentalis var. australis / Artemisia tridentata</i> Woodland	nomenclature update (USDA Plants 2017)	8/29/2017	M. Russo
689086	<i>Atriplex confertifolia / Kochia americana</i> Shrubland	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
686674	<i>Quercus buckleyi - Fraxinus texensis - Juniperus ashei</i> Forest	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
684031	<i>Taxodium distichum - Betula nigra / Cyrilla racemiflora - Sebastiania fruticosa</i> Floodplain Forest	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
684588	<i>Quercus phellos - Quercus nigra / Sabal minor - Sebastiania fruticosa</i> Floodplain Forest	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
690021	<i>Impatiens (capensis, pallida) - Monarda didyma - Rudbeckia laciniata var. humilis</i> Herbaceous Seep	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
688618	<i>Cephalanthus occidentalis / Hibiscus moscheutos ssp. moscheutos</i> Wet Shrubland	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
683368	<i>Polygonum densiflorum - (Saccharum giganteum)</i> Shoreline Wet Meadow	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
686394	<i>Sporobolus neglectus - Sporobolus vaginiflorus - Isanthus brachiatus - Panicum philadelphicum - (Poa compressa)</i> Alvar Grassland	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
903090	<i>Solidago canadensis - Coronilla varia</i> Ruderal Meadow	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
683907	<i>Quercus hemisphaerica - Quercus (falcata, nigra) / Vaccinium arboreum / Cnidoscolus stimulosus</i> Forest	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
900051	<i>Bouteloua gracilis - Buchloe dactyloides</i> Shortgrass Prairie Alliance	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
684224	<i>Panicum obtusum - Buchloe dactyloides</i> Wet Meadow	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
686786	<i>Bouteloua gracilis - Buchloe dactyloides</i> Grassland	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
688409	<i>Pleuraphis mutica - Buchloe dactyloides</i> Grassland	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
683362	<i>Buchloe dactyloides</i> Modified Grassland	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
856717	<i>Bouteloua gracilis - Buchloe dactyloides - Pleuraphis jamesii</i> Shortgrass Prairie Group	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
860672	<i>Bouteloua gracilis - Buchloe dactyloides</i> Shortgrass Prairie Macrogroup	nomenclature update (USDA Plants 2017)	8/30/2017	M. Russo
860784	<i>Rhizophora mangle - Bruguiera gymnorrhiza - Bruguiera parviflora</i> Hawaiian Swamp Group	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
821455	<i>Quercus alba - Carya alba / Oxydendrum arboreum / Gaylussacia frondosa</i> Coastal Plain Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
685137	<i>Quercus alba - Carya alba / Ostrya virginiana / Carex pensylvanica - Schizachyrium scoparium</i> Forest	nomenclature update (USDA Plants 2017)	8/31/2017	M. Russo
