element_global_id	usfs_ecoregion_id	d_occurrence_status_id
683710	10413	1
683710	10414	1
683710	10026	1
683710	10006	1
683710	10246	1
683710	10322	1
683710	10092	2
683710	10088	1
683710	10001	2
683710	10334	1
683711	105	1
683711	1151	1
683711	10480	2
683712	120	1
683712	136	1
683712	1045	1
683712	1072	1
683713	105	1
683713	1126	1
683713	10108	1
683714	1088	1
683715	1088	1
683716	122	1
683716	1069	1
683716	1168	1
683717	122	1
683717	1093	1
683717	1129	1
683717	1091	1
683717	1106	1
683718	125	1
683718	1147	1
683719	118	1
683720	119	1
683721	137	1
683721	120	1
683721	122	1
683721	1124	1
683555	1067	1
683555	1101	1
683556	118	1
683556	113	3
683556	135	1
683556	1088	1
683556	1060	1
683557	127	1
683557	124	1
683557	1005	1
683559	114	1
683560	123	1
683560	1150	1
683561	121	1
683562	121	1
683563	105	1
683563	1151	1
683563	1126	1
683563	10211	1
683563	10461	1
683565	127	1
683565	114	1
683565	1027	3
683565	1134	1
683565	1147	1
683566	135	1
683566	137	1
683566	113	1
683566	1088	1
683566	1060	1
683567	104	1
683567	10164	1
683568	1143	2
683568	10352	2
683568	10093	2
683568	10059	2
683568	10404	2
683568	10391	2
683568	10023	2
683568	10421	2
683569	102	1
683569	103	1
683569	115	2
683569	1055	1
683569	1173	1
683721	1088	1
683721	1060	1
683723	137	1
683723	1007	1
683723	1009	1
683724	1073	1
683725	114	1
683728	104	1
683728	103	1
683728	1089	1
683540	1092	1
683540	1019	1
683541	1020	1
683542	124	1
683542	127	3
683542	1020	3
683543	117	1
683543	1134	1
683544	104	1
683545	114	1
683545	124	1
683545	1058	1
683546	125	1
683546	1059	3
683546	1032	1
683546	1139	1
683547	1020	3
683548	115	1
683548	1081	1
683548	1143	2
683548	10027	2
683548	10059	2
683548	10414	1
683548	10377	3
683548	10423	1
683548	10092	1
683549	105	1
683549	126	1
683549	1010	1
683549	1151	1
683549	10430	2
683549	10239	3
683549	10189	1
683551	117	1
683551	119	1
683551	1029	1
683551	1147	1
683551	1031	1
683553	105	1
683553	1051	1
683553	10486	1
683553	10430	3
683553	10128	1
683553	10073	1
683554	115	1
683554	1130	1
683554	1143	2
683554	10225	2
683554	10026	1
683554	10027	2
683554	10090	1
683554	10156	1
683554	10177	2
683554	10198	2
683554	10421	2
683554	10334	2
683554	10377	3
683554	10391	2
683554	10396	3
683554	10414	3
683554	10404	2
683555	119	1
683555	116	3
683555	118	1
683555	1069	1
683180	136	1
683180	113	1
683180	1040	1
683180	1022	1
683180	1060	1
683180	1133	1
683181	103	2
683181	104	1
683181	1089	2
683181	1103	1
683181	10408	1
683181	10248	2
683181	10366	3
683182	104	1
683182	1103	1
683182	10329	1
683183	128	1
683183	10181	1
683184	125	1
683184	122	1
683184	1007	1
683184	1006	1
683184	1068	1
683185	133	1
683185	114	1
683185	117	1
683185	1001	1
683185	1106	1
683185	1174	1
683185	1063	1
683185	1027	1
683185	1168	1
683185	1091	1
683185	1147	1
683186	105	1
683186	128	1
683186	1142	1
683186	1034	1
683186	10261	1
683186	10060	1
683186	10054	1
683186	10335	1
683186	10468	2
683248	117	3
683248	114	1
683248	1147	1
683249	123	1
683249	1150	1
683249	10348	1
683249	10084	1
683251	135	1
683252	104	1
683252	103	1
683252	1163	1
683252	1121	2
683252	1023	2
683252	1061	1
683252	1042	1
683252	1049	1
683252	1126	1
683252	1162	1
