element_global_id	simglobal_id	simnote	simelcode	simname	simusstatus	simlevelid
899391	899896		A3844	<i>Populus tremuloides - Betula papyrifera</i> Subboreal Forest Alliance	C	46
899879	899882		A3830	<i>Alnus incana / Dasiphora fruticosa ssp. floribunda</i> Riverscour Alliance	C	46
878797	899847		A3795	<i>Schizachyrium scoparium</i> Riverscour Prairie Alliance	C	46
878775	899847		A3795	<i>Schizachyrium scoparium</i> Riverscour Prairie Alliance	C	46
899448	899765		A3713	<i>Quercus macrocarpa - Quercus bicolor</i> Mesic Floodplain Forest Alliance	C	46
899546	899762		A3710	<i>Acer saccharinum - Populus deltoides</i> Floodplain Forest Alliance	C	46
899182	899748		A3696	Inland Mud Lakeshore Alliance	C	46
899544	899726		A3674	<i>Abies lowiana - Pseudotsuga menziesii</i> Coastal, Cascadian &amp; Sierran Forest Alliance	C	46
899715	899721		A3669	<i>Peltandra virginica - Pontederia cordata - Sagittaria</i> spp. Marsh Alliance	C	46
899182	899721		A3669	<i>Peltandra virginica - Pontederia cordata - Sagittaria</i> spp. Marsh Alliance	C	46
899718	899719		A3667	<i>Equisetum fluviatile - Eleocharis palustris</i> Marsh Alliance	C	46
900117	899625		A3542	<i>Myriophyllum</i> spp. Aquatic Vegetation Alliance	C	46
900116	899625		A3542	<i>Myriophyllum</i> spp. Aquatic Vegetation Alliance	C	46
899955	899311		A3186	<i>Sporobolus airoides - Sporobolus wrightii - Panicum obtusum</i> Lowland Desert Grassland Alliance	C	46
899114	899311		A3186	<i>Sporobolus airoides - Sporobolus wrightii - Panicum obtusum</i> Lowland Desert Grassland Alliance	C	46
899104	899311		A3186	<i>Sporobolus airoides - Sporobolus wrightii - Panicum obtusum</i> Lowland Desert Grassland Alliance	C	46
899260	899288		A3163	<i>Prosopis velutina</i> Ruderal Desert Scrub Alliance	C	46
899288	899278		A3153	<i>Prosopis glandulosa</i> Lowland Basin Chihuahuan Desert Scrub Alliance	C	46
899036	899276		A3151	<i>Atriplex canescens</i> Lowland Basin Desert Scrub Alliance	C	46
899344	899269		A3144	<i>Coleogyne ramosissima</i> Mojave Desert Scrub Alliance	C	46
899534	899230		A3033	<i>Ludwigia leptocarpa</i> Ruderal Wet Meadow Alliance	C	46
899718	899229		A3030	<i>Lythrum salicaria</i> Ruderal Marsh Alliance	C	46
899134	899229		A3030	<i>Lythrum salicaria</i> Ruderal Marsh Alliance	C	46
899644	899151		A1540	<i>Yucca glauca</i> Prairie Scrub Alliance	C	46
899086	899151		A1540	<i>Yucca glauca</i> Prairie Scrub Alliance	C	46
899718	899134		A1431	<i>Phragmites australis ssp. australis</i> Ruderal Marsh Alliance	C	46
899132	899133		A1430	<i>Juncus militaris</i> Pondshore Marsh Alliance	C	46
899718	899123		A1381	<i>Phalaris arundinacea</i> Eastern Ruderal Marsh Alliance	C	46
899088	899101		A1274	<i>Spartina patens - Schoenoplectus pungens</i> Atlantic Overwash Dune Grassland Alliance	C	46
899069	899071		A1087	<i>Hudsonia tomentosa / Paronychia argyrocoma</i> Riverscour Alliance	C	46
899152	899058		A1016	<i>Cornus amomum - Salix candida - Aronia melanocarpa</i> Tall Shrub Fen Alliance	C	46
899648	899051		A0954	<i>Crataegus douglasii - Crataegus succulenta</i> Shrubland Alliance	C	46
899041	899051		A0954	<i>Crataegus douglasii - Crataegus succulenta</i> Shrubland Alliance	C	46
900022	899019		A0793	<i>Quercus turbinella</i> Chaparral Alliance	C	46
899341	899011		A0668	<i>Quercus stellata - Quercus virginiana / Ilex vomitoria</i> Forest & Woodland Alliance	C	46
899259	898997		A0505	<i>Juniperus pinchotii</i> Chaparral Alliance	C	46
899258	898997		A0505	<i>Juniperus pinchotii</i> Chaparral Alliance	C	46
899718	871240		A1436	<i>Typha angustifolia - Typha latifolia - Schoenoplectus</i> spp. Deep Marsh Alliance	C	46
899721	899715	is usually found in wet meadows where the flooding regime is less variable and lacks a strong presence of <i>Peltandra virginica, Polygonum amphibium, Polygonum hydropiper, Pontederia cordata</i>, and <i>Bidens cernua</i>.	A3661	<i>Impatiens capensis - Impatiens pallida - Eupatorium</i> spp. Wet Meadow Alliance	C	46
899721	899182	appears very similar to at least parts of A3669. There may not be real differences between parts of them and re-alignment of the alliances should be considered.	A1881	<i>Polygonum</i> spp. Shoreline Wet Meadow Alliance	C	46
899726	899544	occurs in the Rocky Mountains with Rocky Mountain characteristic understory species such as <i>Quercus gambelii, Carex siccata, Festuca thurberi</i>, and <i>Danthonia parryi</i>; codominant tree	A3420	<i>Abies concolor</i> Dry Forest & Woodland Alliance	C	46
900112	899085	contains related vegetation occurring on the South Texas Sand Sheet.	A1200	<i>Schizachyrium littorale - Paspalum monostachyum - Panicum amarum</i> Texas Coastal Grassland Alliance	C	46
899879	899878	ranges to the south and lacks <i>Spartina pectinata</i>.	A3826	<i>Andropogon gerardii - Anemone virginiana var. alba</i> Riverscour Alliance	C	46
899071	899069	occurs on maritime dunes and is structured by eolian rather than alluvial processes.	A1062	<i>Hudsonia tomentosa</i> Dune Dwarf-shrubland Alliance	C	46
899878	899879	occurs to the north and west of this alliance, and <i>Spartina pectinata</i> is characteristic.	A3827	<i>Spartina pectinata - Apocynum cannabinum</i> Riverscour Alliance	C	46
899882	899879	has a higher cover of graminoids, and is characterized by non-alkaline bedrock.	A3827	<i>Spartina pectinata - Apocynum cannabinum</i> Riverscour Alliance	C	46
899532	842028		A0230	<i>Quercus alba - Fagus grandifolia</i> Flatwoods &amp; Swamp Forest Alliance	C	46
899532	899932		A3881	<i>Acer rubrum - Fraxinus</i> spp. - <i>Quercus bicolor</i> Swamp Forest Alliance	C	46
870707	842028		A0230	<i>Quercus alba - Fagus grandifolia</i> Flatwoods &amp; Swamp Forest Alliance	C	46
870707	899932		A3881	<i>Acer rubrum - Fraxinus</i> spp. - <i>Quercus bicolor</i> Swamp Forest Alliance	C	46
842028	899532		A3408	<i>Quercus palustris - Quercus bicolor</i> Flooded &amp; Swamp Forest Alliance	C	46
842028	870707		A0329	<i>Quercus palustris - Quercus bicolor</i> Flatwoods &amp; Swamp Forest Alliance	C	46
842028	899932		A3881	<i>Acer rubrum - Fraxinus</i> spp. - <i>Quercus bicolor</i> Swamp Forest Alliance	C	46
899932	899532		A3408	<i>Quercus palustris - Quercus bicolor</i> Flooded &amp; Swamp Forest Alliance	C	46
899932	870707		A0329	<i>Quercus palustris - Quercus bicolor</i> Flatwoods &amp; Swamp Forest Alliance	C	46
899932	842028		A0230	<i>Quercus alba - Fagus grandifolia</i> Flatwoods &amp; Swamp Forest Alliance	C	46
899371	900003	includes stands of <i>Prosopis glandulosa</i> shrubs over short grass prairie; similarities may warrant merging the two alliances.	A3952	<i>Prosopis glandulosa</i> Shortgrass Prairie Ruderal Scrub Alliance	C	46
899450	841948	is found in the northeastern United States.	A2053	<i>Quercus alba - Carya</i> spp. - <i>Fraxinus americana</i> Forest Alliance	C	46
899448	870707		A0329	<i>Quercus palustris - Quercus bicolor</i> Flatwoods &amp; Swamp Forest Alliance	C	46
899448	899380		A3256	<i>Quercus macrocarpa - Quercus alba</i> Wooded Grassland Alliance	C	46
899447	842025	may contain <i>Quercus rubra</i>-dominated stands, but with mesic associates and lacks the dry-mesic indicators.	A0220	<i>Acer saccharum - Tilia americana - Quercus rubra</i> Forest Alliance	C	46
899790	899787	may be codominated by <i>Quercus gambelii</i>, but lacks <i>Robinia neomexicana</i>.	A3735	<i>Quercus gambelii - Symphoricarpos oreophilus</i> Shrubland Alliance	C	46
900059	899697	shares some floristic similarity but occurs on Atlantic sandy beaches.	A3639	<i>Cakile edentula ssp. edentula</i> Atlantic Beach Alliance	C	46
899269	899344	is similar but is placed in ~Colorado Plateau Blackbrush - Mormon-tea Shrubland (G312)$$.	A3220	<i>Coleogyne ramosissima</i> Colorado Plateau Shrubland Alliance	C	46
871240	899718	is found in shallower water and has few or no submergent and floating-leaved aquatic species.	A3666	<i>Schoenoplectus tabernaemontani - Bolboschoenus fluviatilis - Typha</i> spp. Shallow Marsh Alliance	C	46
871240	899716	is dominated by <i>Schoenoplectus acutus, Bolboschoenus fluviatilis</i>, and <i>Schoenoplectus tabernaemontani</i>. <i>Typha</i> spp. may be present to common but are not dominant.	A3664	<i>Schoenoplectus acutus - Bolboschoenus fluviatilis - Schoenoplectus tabernaemontani</i> Marsh Alliance	C	46
899716	871240	has a larger component of <i>Typha</i> spp.	A1436	<i>Typha angustifolia - Typha latifolia - Schoenoplectus</i> spp. Deep Marsh Alliance	C	46
